idx	NbPairs	Time
1	5710	1.5053682327270508
2	8565	1.7864270210266113
3	11420	2.0574114322662354
4	14275	2.5109715461730957
5	17130	3.0562517642974854
6	19985	3.436455726623535
7	22840	3.69979190826416
8	25695	4.17954421043396
9	28550	4.634220838546753
10	31405	5.147386789321899
11	34260	5.3114495277404785
12	37115	5.457687616348267
13	39970	5.850513219833374
14	42825	6.078796863555908
15	45680	6.794911623001099
16	48535	7.5136494636535645
17	51390	7.841815948486328
18	54245	8.529773712158203
19	57100	8.712386846542358
20	59955	9.340945482254028
