idx	NbPairs	Time
1	9932	5.178551912307739
2	14898	7.602178335189819
3	19864	10.015235185623169
4	24830	12.423031568527222
5	29796	14.8485746383667
6	34762	17.168784379959106
7	39728	19.86568307876587
8	44694	22.28810715675354
9	49660	24.76848602294922
10	54626	27.20810556411743
11	59592	29.586676836013794
12	64558	32.05791211128235
13	69524	34.6982855796814
14	74490	37.0032684803009
15	79456	38.731937885284424
16	84422	41.1323344707489
17	89388	43.46576690673828
18	94354	45.9668128490448
19	99320	48.33272051811218
20	104286	50.851484537124634
